preset_id,preset_label,heuristic_selected_source,hybrid_selected_source,selected_candidate_source_changed,heuristic_scorer_score,hybrid_scorer_score,hybrid_score_improved,heuristic_protein_gap_g,hybrid_protein_gap_g,hybrid_protein_gap_improved,heuristic_calorie_gap_kcal,hybrid_calorie_gap_kcal,hybrid_calorie_gap_improved,heuristic_estimated_basket_cost,hybrid_estimated_basket_cost,hybrid_cost_improved,selected_result_overlap_jaccard,changed_food_count,role_assignment_changes,final_basket_changed_by_role,cost_delta,protein_gap_delta_g,calorie_gap_delta_kcal,materially_different,cosmetically_similar,difference_summary,hybrid_best_materially_different_model_candidate_id,hybrid_best_materially_different_model_candidate_source,hybrid_best_materially_different_model_candidate_score,hybrid_best_materially_different_model_score_gap_to_selected,hybrid_best_materially_different_model_loss_reason,hybrid_best_materially_different_model_loss_dimensions,hybrid_best_materially_different_model_role_substitution_summaries,hybrid_best_materially_different_model_failure_mode,hybrid_best_materially_different_model_produce_difference_summary,hybrid_best_materially_different_model_seed_to_final_drift_summary,hybrid_best_materially_different_model_seed_to_final_drift_score,hybrid_best_materially_different_model_remaining_primary_reason,hybrid_model_candidates_merged_count,hybrid_model_candidates_materially_different_count,hybrid_materially_different_model_candidates_surviving_after_fusion,hybrid_average_heuristic_model_overlap_jaccard,hybrid_model_candidates_mostly_near_duplicates,hybrid_best_model_candidate_reason_summary,hybrid_diagnosis_text,hybrid_why_no_model_win_yet,hybrid_algorithmic_winner_mode,hybrid_algorithmic_seed_to_final_drift_summary,hybrid_algorithmic_seed_to_final_drift_score,hybrid_algorithmic_top_terms
muscle_gain,Muscle Gain,heuristic,heuristic,0,10.926954,10.926954,0,4.8,4.8,0,29.5,29.5,0,9.67,9.67,0,1.0,0,0,0,0.0,0.0,0.0,0,1,Same basket,model_03,model,10.27468,0.652275,lost mainly on calorie fit,{'calorie_gap_delta_kcal': 184.2},"['protein_anchor #1: eggs -> chicken_breast', 'protein_anchor #2: chicken_breast -> turkey', 'produce #1: bananas -> spinach', 'produce #2: bell_peppers -> bananas', 'calorie_booster #1: none -> olive_oil']",bad_booster_behavior,"Produce mix shifted, but the overall role pattern stayed similar.",major quantity rebalance changed the seed structure,0.654641,lost mainly on calorie fit,1,3,4,0.533895,0,Lower scorer score by 0.652. Worse calorie fit. More repetitive basket structure.,Model candidates were generated but heuristic still won by 0.652 scorer points. Lower scorer score by 0.652. Worse calorie fit. More repetitive basket structure.,"Materially-different model candidates survived, but the strongest one still lost due to bad booster behavior. It lost mainly on calorie fit.",direct_candidate_quality,no meaningful seed drift,0.0,"['cost', 'repetition_penalty', 'nutrition_fit', 'practicality']"
fat_loss,Fat Loss,heuristic,heuristic,0,9.130643,9.130643,0,3.9,3.9,0,422.0,422.0,0,11.07,11.07,0,1.0,0,0,0,0.0,0.0,0.0,0,1,Same basket,model_00,model,8.68926,0.441382,lost mainly on repetition penalty,{'repetition_penalty_delta': 2.144984},"['produce #1: bell_peppers -> broccoli', 'produce #2: tomatoes -> bell_peppers', 'produce #3: broccoli -> spinach']",poor_produce_choice,"Produce mix shifted, but the overall role pattern stayed similar.",model seed preserved,0.097117,lost mainly on repetition penalty,0,4,4,0.678572,0,Lower scorer score by 0.441. More repetitive basket structure.,Model candidates were generated but heuristic still won by 0.441 scorer points. Lower scorer score by 0.441. More repetitive basket structure.,"Materially-different model candidates survived, but the strongest one still lost due to poor produce choice. It lost mainly on repetition penalty.",direct_candidate_quality,no meaningful seed drift,0.0,"['cost', 'repetition_penalty', 'complementarity', 'diversity']"
maintenance,Maintenance,heuristic,model,1,11.463771,11.681174,1,2.0,0.4,1,5.4,80.5,0,8.11,8.07,1,0.714286,2,0,0,-0.04,-1.6,75.1,1,0,"Same basket structure, different produce",model_03,model,11.681174,0.0,lost on several small penalties despite being materially different,{},['produce #2: bell_peppers -> broccoli'],poor_produce_choice,"Produce mix shifted, but the overall role pattern stayed similar.",booster introduced and basket converged toward heuristic,0.795175,lost on several small penalties despite being materially different,1,3,4,0.580357,0,Lower scorer score by 0.000. Materialization drifted: booster introduced and basket converged toward heuristic.,Model candidates changed the pool and a model candidate won.,A materially different model candidate won for this request.,heavy_materialization_adjustment,booster introduced and basket converged toward heuristic,0.795175,"['cost', 'repetition_penalty', 'nutrition_fit', 'complementarity']"
high_protein_vegetarian,High-Protein Vegetarian,heuristic,model,1,9.988748,10.58325,1,0.8,2.5,0,98.6,31.9,1,11.44,12.53,0,0.666667,2,0,0,1.09,1.7,-66.7,1,0,"Same basket structure, different produce",model_02,model,10.58325,0.0,lost on several small penalties despite being materially different,{},"['produce #1: berries -> spinach', 'produce #2: spinach -> oranges']",poor_produce_choice,"Produce mix shifted, but the overall role pattern stayed similar.",model seed preserved,0.019709,lost on several small penalties despite being materially different,3,1,2,0.777778,1,Lower scorer score by 0.000.,Model candidates changed the pool and a model candidate won.,A materially different model candidate won for this request.,direct_candidate_quality,model seed preserved,0.019709,"['cost', 'repetition_penalty', 'nutrition_fit', 'complementarity']"
budget_friendly_healthy,Budget-Friendly Healthy,heuristic,model,1,11.711402,11.812986,1,15.1,19.3,0,359.3,1.9,1,4.77,4.85,0,0.714286,2,0,0,0.08,4.2,-357.4,1,0,"Same basket structure, different produce",model_00,model,11.812986,0.0,lost on several small penalties despite being materially different,{},['produce #2: potatoes -> carrots'],poor_produce_choice,"Same produce structure, but with different items.",minor quantity drift,0.421579,lost on several small penalties despite being materially different,0,4,4,0.452546,0,Lower scorer score by 0.000.,Model candidates changed the pool and a model candidate won.,A materially different model candidate won for this request.,light_materialization_adjustment,minor quantity drift,0.421579,"['cost', 'repetition_penalty', 'practicality', 'complementarity']"
