request_id,candidate_id,baseline_candidate_id,candidate_source,label_score,days,target_protein_g,target_calorie_kcal,estimated_protein_g,estimated_calorie_kcal,estimated_carbohydrate_g,estimated_fat_g,estimated_fiber_g,estimated_calcium_mg,estimated_iron_mg,estimated_vitamin_c_mg,protein_abs_gap_g,calorie_abs_gap_kcal,carbohydrate_abs_gap_g,fat_abs_gap_g,fiber_abs_gap_g,calcium_abs_gap_mg,iron_abs_gap_mg,vitamin_c_abs_gap_mg,protein_gap_ratio,calorie_gap_ratio,macro_gap_ratio_sum,estimated_basket_cost,price_per_1000_kcal,price_per_100g_protein,priced_item_ratio,unique_ingredient_count,protein_anchor_count,carb_base_count,produce_count,calorie_booster_count,goal_structure_alignment_score,role_share_gap_total,protein_anchor_share,carb_base_share,produce_share,calorie_booster_share,protein_anchor_family_diversity,animal_protein_anchor_count,lean_protein_anchor_count,vegetarian_protein_anchor_count,legume_protein_anchor_count,soy_protein_anchor_count,dairy_or_egg_anchor_count,budget_support_anchor_count,fruit_produce_count,high_volume_produce_count,low_cost_produce_count,food_family_diversity_count,role_diversity_count,repetition_penalty,unrealistic_basket_penalty,preference_match_score,heuristic_selection_score,overlap_with_best_heuristic_jaccard,changed_food_count_vs_best_heuristic,role_assignment_changes_vs_best_heuristic,cost_delta_vs_best_heuristic,protein_gap_delta_vs_best_heuristic,calorie_gap_delta_vs_best_heuristic,macro_gap_ratio_delta_vs_best_heuristic,diversity_gain_vs_best_heuristic,role_diversity_delta_vs_best_heuristic,repetition_penalty_delta_vs_best_heuristic,unrealistic_penalty_delta_vs_best_heuristic,preference_match_delta_vs_best_heuristic,alternative_quality_score,nearby_store_count,warning_count,realism_note_count,pantry_note_count,scaling_note_count,adjusted_by_split,has_price_estimate,budget_friendly_preference,low_prep_preference,vegetarian_preference,vegan_preference,dairy_free_preference,materially_different_from_best_heuristic,nutritionally_competitive_with_best_heuristic,cost_competitive_with_best_heuristic,diversity_improved_vs_best_heuristic,goal_profile,shopping_mode,meal_style
balanced_any:us:1:balanced,candidate_10,candidate_02,model,9.856794,1,120.0,2100.0,126.3,1968.5,166.9,77.8,38.6,850.7,32.4,565.5,6.299999999999997,131.5,63.099999999999994,7.799999999999997,8.600000000000001,149.29999999999995,14.399999999999999,475.5,0.05249999999999998,0.06261904761904762,6.905076397515527,9.27,4.709169418338837,7.339667458432304,1.0,6,2,1,2,1,0.628475,0.366582,0.19964,0.467555,0.127069,0.205736,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,3.925467,0.0,0.0,72.191138,0.333333,6,0,1.54,5.5,122.9,-0.258604,0.0,0.0,-0.057337,0.0,0.0,0.477709,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,maintenance,balanced,any
balanced_any:us:1:balanced,candidate_11,candidate_02,model,10.268443,1,120.0,2100.0,123.8,1983.5,172.1,79.0,41.4,1185.0,34.4,575.4,3.799999999999997,116.5,57.900000000000006,9.0,11.399999999999999,185.0,16.4,485.4,0.03166666666666664,0.05547619047619048,7.249755003450655,8.7,4.386186034786992,7.0274636510500805,1.0,6,2,1,2,1,0.6349,0.356408,0.198132,0.464022,0.133664,0.204182,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,3.864458,0.0,0.0,71.521354,0.333333,6,0,0.97,3.0,107.9,0.086075,0.0,0.0,-0.118346,0.0,0.0,0.722163,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,maintenance,balanced,any
balanced_any:us:3:fresh,candidate_00,candidate_02,heuristic,7.707121,3,360.0,6300.0,356.9,6221.2,536.4,265.1,124.2,1643.3,62.4,1821.2,3.1000000000000227,78.80000000000018,153.60000000000002,55.10000000000002,34.2,1356.7,8.399999999999999,1551.2,0.008611111111111173,0.012507936507936537,7.217963722107201,25.47,4.094065453610236,7.136452787895769,1.0,6,2,1,2,1,0.647306,0.336765,0.228671,0.383514,0.112946,0.274868,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,4,3.982804,1.64,0.0,75.178064,0.714286,2,0,3.15,2.1,20.3,0.423203,0.0,0.0,0.0,0.0,0.0,0.221196,2,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,maintenance,fresh,any
balanced_any:us:3:fresh,candidate_01,candidate_02,heuristic,8.281374,3,360.0,6300.0,363.7,6242.5,492.9,288.5,103.5,1576.8,72.6,1816.2,3.6999999999999886,57.5,197.10000000000002,78.5,13.5,1423.2,18.599999999999994,1546.2,0.010277777777777747,0.009126984126984128,7.354972808833678,23.42,3.7517020424509417,6.439373109705802,1.0,6,2,1,2,1,0.645834,0.339096,0.227891,0.385617,0.112561,0.273931,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,4,3.982804,1.64,0.0,75.127058,0.714286,2,0,1.1,2.7,-1.0,0.560213,0.0,0.0,0.0,0.0,0.0,0.67061,2,2,0,0,2,0,1,0,0,0,0,0,1,0,1,0,maintenance,fresh,any
balanced_any:us:3:fresh,candidate_02,candidate_02,heuristic,7.714646,3,360.0,6300.0,359.0,6241.5,629.0,239.0,63.1,1493.0,52.9,1821.6,1.0,58.5,61.0,29.0,26.9,1507.0,1.1000000000000014,1551.6,0.002777777777777778,0.009285714285714286,6.794760294455946,22.32,3.57606344628695,6.217270194986073,1.0,6,2,1,2,1,0.687635,0.272912,0.260965,0.381321,0.112579,0.245135,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,4,3.982804,1.64,0.0,74.404529,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,2,0,1,0,0,0,0,0,0,1,1,0,maintenance,fresh,any
balanced_any:us:3:fresh,candidate_03,candidate_02,heuristic,7.215314,3,360.0,6300.0,351.4,6173.6,529.2,265.1,124.2,2028.2,71.3,1829.5,8.600000000000023,126.39999999999964,160.79999999999995,55.10000000000002,34.2,971.8,17.299999999999997,1559.5,0.023888888888888953,0.020063492063492006,7.295654060271452,26.23,4.248736555656343,7.464428002276608,1.0,6,2,1,2,1,0.677724,0.288604,0.251881,0.386471,0.113817,0.247831,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,3.922913,1.64,0.0,74.145518,0.5,4,0,3.91,7.6,67.9,0.500894,0.0,0.0,-0.059891,0.0,0.0,-0.219914,2,2,0,0,2,0,1,0,0,0,0,0,1,0,0,1,maintenance,fresh,any
balanced_any:us:3:fresh,candidate_04,candidate_02,heuristic,7.616243,3,360.0,6300.0,358.5,6278.2,538.8,271.4,124.2,2318.5,77.7,1797.7,1.5,21.800000000000182,151.20000000000005,61.39999999999998,34.2,681.5,23.700000000000003,1527.7,0.004166666666666667,0.003460317460317489,7.215715090867265,25.58,4.074416233952406,7.135285913528591,1.0,6,2,1,2,1,0.761374,0.156158,0.34319,0.380032,0.111921,0.164857,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,4.089201,1.99,0.0,74.132266,0.5,4,0,3.26,0.5,-36.7,0.420955,0.0,0.0,0.106397,0.35,0.0,0.303396,2,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,maintenance,fresh,any
balanced_any:us:3:fresh,candidate_05,candidate_02,hybrid,7.896539,3,360.0,6300.0,353.6,6217.9,485.7,293.3,103.5,1961.1,81.6,1823.6,6.399999999999977,82.10000000000036,204.3,83.30000000000001,13.5,1038.9,27.599999999999994,1553.6,0.017777777777777715,0.013031746031746089,7.454238808373591,24.07,3.871081876517796,6.807126696832579,1.0,6,2,1,2,1,0.669963,0.300892,0.246548,0.387143,0.113006,0.253303,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,3.922913,1.64,0.0,74.094512,0.5,4,0,1.75,5.4,23.6,0.659479,0.0,0.0,-0.059891,0.0,0.0,0.291953,2,2,0,0,2,0,1,0,0,0,0,0,1,0,0,1,maintenance,fresh,any
balanced_any:us:3:fresh,candidate_06,candidate_02,hybrid,7.989453,3,360.0,6300.0,365.3,6299.5,495.3,294.9,103.5,2252.0,87.9,1792.7,5.300000000000011,0.5,194.7,84.89999999999998,13.5,748.0,33.900000000000006,1522.7,0.014722222222222255,7.936507936507937e-05,7.353200368069933,23.53,3.7352170807206924,6.4412811387900355,1.0,6,2,1,2,1,0.760896,0.156915,0.342029,0.382128,0.111542,0.1643,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,4.089201,1.99,0.0,74.08126,0.5,4,0,1.21,4.3,-58.0,0.55844,0.0,0.0,0.106397,0.35,0.0,0.586841,2,2,0,0,2,0,1,0,0,0,0,0,1,0,1,0,maintenance,fresh,any
balanced_any:us:3:fresh,candidate_07,candidate_02,heuristic,7.611086,3,360.0,6300.0,359.9,6265.6,530.2,271.8,124.2,2329.4,78.2,1820.7,0.10000000000002274,34.399999999999636,159.79999999999995,61.80000000000001,34.2,670.5999999999999,24.200000000000003,1550.7,0.00027777777777784093,0.005460317460317402,7.320894731999079,26.51,4.231039325842697,7.365934981939429,1.0,6,2,1,2,1,0.743921,0.183791,0.305958,0.380796,0.112146,0.201099,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4,4,3.922913,1.99,0.0,74.065518,0.5,4,0,4.19,-0.9,-24.1,0.526134,0.0,0.0,-0.059891,0.35,0.0,0.22728,2,2,0,0,2,0,1,0,0,0,0,0,1,0,0,1,maintenance,fresh,any
