series_id,series_title,observed_year,observed_month,period,period_name,observed_at,cpi_value,footnotes_json
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,3,M03,March,2025-03,312.815,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,4,M04,April,2025-04,311.84,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,5,M05,May,2025-05,312.491,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,6,M06,June,2025-06,313.028,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,7,M07,July,2025-07,313.263,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,8,M08,August,2025-08,314.608,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,9,M09,September,2025-09,316.042,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,11,M11,November,2025-11,313.954,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2025,12,M12,December,2025-12,315.664,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2026,1,M01,January,2026-01,317.431,[{}]
CUUR0000SAF11,"Consumer Price Index for All Urban Consumers (CPI-U): Food at home in U.S. city average, all urban consumers, not seasonally adjusted",2026,2,M02,February,2026-02,318.898,[{}]
